,source,target,graph
0,1,2,1
2,1,3,1
4,1,4,1
6,1,5,1
8,1,6,1
10,1,7,1
12,1,8,1
14,1,9,1
16,1,10,1
18,1,11,1
20,1,12,1
22,1,13,1
24,1,14,1
26,1,15,1
28,1,16,1
30,1,17,1
32,1,18,1
34,1,19,1
36,1,20,1
38,1,21,1
40,1,22,1
42,1,23,1
44,1,24,1
46,1,25,1
48,1,26,1
50,1,27,1
52,1,28,1
54,1,29,1
56,1,30,1
58,1,31,1
60,1,32,1
62,1,33,1
64,1,34,1
66,1,35,1
68,1,36,1
70,1,37,1
72,1,38,1
74,1,39,1
76,1,40,1
78,1,41,1
80,1,42,1
82,1,43,1
84,1,44,1
86,1,45,1
89,1,2,1
177,1,3,1
265,1,4,1
353,1,5,1
441,1,6,1
529,1,7,1
617,1,8,1
705,1,9,1
793,1,10,1
881,1,11,1
969,1,12,1
1057,1,13,1
1145,1,14,1
1233,1,15,1
1321,1,16,1
1409,1,17,1
1497,1,18,1
1585,1,19,1
1673,1,20,1
1761,1,21,1
1849,1,22,1
1937,1,23,1
2025,1,24,1
2113,1,25,1
2201,1,26,1
2289,1,27,1
2377,1,28,1
2465,1,29,1
2553,1,30,1
2641,1,31,1
2729,1,32,1
2817,1,33,1
2905,1,34,1
2993,1,35,1
3081,1,36,1
3169,1,37,1
3257,1,38,1
3345,1,39,1
3433,1,40,1
3521,1,41,1
3609,1,42,1
3697,1,43,1
3785,1,44,1
3873,1,45,1
1,2,1,1
88,2,1,1
90,2,3,1
92,2,4,1
94,2,5,1
96,2,6,1
98,2,7,1
100,2,8,1
102,2,9,1
104,2,10,1
106,2,11,1
108,2,12,1
110,2,13,1
112,2,14,1
114,2,15,1
116,2,16,1
118,2,17,1
120,2,18,1
122,2,19,1
124,2,20,1
126,2,21,1
128,2,22,1
130,2,23,1
132,2,24,1
134,2,25,1
136,2,26,1
138,2,27,1
140,2,28,1
142,2,29,1
144,2,30,1
146,2,31,1
148,2,32,1
150,2,33,1
152,2,34,1
154,2,35,1
156,2,36,1
158,2,37,1
160,2,38,1
162,2,39,1
164,2,40,1
166,2,41,1
168,2,42,1
170,2,43,1
172,2,44,1
174,2,45,1
179,2,3,1
